iter	Passed	Remaining
0	89	44853
1	172	42842
2	268	44421
3	390	48361
4	481	47642
5	580	47778
6	692	48741
7	786	48355
8	876	47798
9	965	47329
10	1055	46907
11	1144	46532
12	1230	46085
13	1309	45467
14	1387	44868
15	1467	44379
16	1546	43943
17	1620	43390
18	1704	43145
19	1784	42823
20	1860	42430
21	1932	41992
22	2016	41820
23	2108	41823
24	2195	41708
25	2281	41601
26	2361	41362
27	2441	41152
28	2515	40851
29	2593	40625
30	2674	40464
31	2757	40331
32	2835	40132
33	2912	39915
34	2996	39810
35	3072	39603
36	3160	39554
37	3265	39701
38	3378	39935
39	3502	40273
40	3625	40589
41	3740	40789
42	3850	40926
43	3981	41262
44	4087	41333
45	4171	41171
46	4262	41085
47	4357	41029
48	4473	41170
49	4585	41271
50	4728	41628
51	4848	41774
52	4953	41776
53	5055	41752
54	5160	41754
55	5267	41763
56	5382	41834
57	5501	41922
58	5682	42473
59	5809	42601
60	5915	42572
61	6033	42620
62	6157	42713
63	6273	42739
64	6367	42609
65	6450	42416
66	6536	42240
67	6636	42158
68	6735	42073
69	6824	41922
70	6927	41854
71	7025	41761
72	7117	41632
73	7206	41488
74	7295	41341
75	7381	41181
76	7463	41001
77	7554	40873
78	7645	40742
79	7736	40617
80	7829	40499
81	7905	40300
82	8004	40213
83	8100	40119
84	8195	40013
85	8291	39912
86	8371	39738
87	8453	39578
88	8534	39412
89	8620	39269
90	8704	39122
91	8787	38969
92	8871	38823
93	8952	38666
94	9039	38536
95	9126	38406
96	9233	38361
97	9338	38308
98	9428	38190
99	9511	38044
100	9598	37916
101	9688	37805
102	9774	37672
103	9860	37544
104	9942	37401
105	10022	37253
106	10113	37147
107	10205	37043
108	10292	36921
109	10385	36822
110	10466	36679
111	10564	36597
112	10660	36508
113	10747	36391
114	10839	36288
115	10930	36185
116	11015	36060
117	11097	35924
118	11179	35791
119	11259	35655
120	11346	35540
121	11440	35448
122	11538	35366
123	11632	35271
124	11737	35213
125	11813	35065
126	11900	34952
127	11985	34832
128	12084	34754
129	12178	34661
130	12254	34518
131	12329	34372
132	12412	34250
133	12495	34129
134	12591	34044
135	12684	33948
136	12779	33860
137	12870	33761
138	12954	33644
139	13041	33535
140	13134	33442
141	13225	33342
142	13385	33416
143	13463	33283
144	13535	33138
145	13611	33002
146	13687	32867
147	13782	32781
148	13878	32692
149	13965	32586
150	14052	32479
151	14132	32356
152	14216	32241
153	14296	32119
154	14401	32054
155	14499	31972
156	14586	31866
157	14677	31770
158	14763	31661
159	14856	31570
160	14952	31483
161	15037	31373
162	15134	31290
163	15248	31240
164	15357	31179
165	15457	31100
166	15550	31008
167	15633	30894
168	15723	30795
169	15806	30682
170	15898	30587
171	15977	30469
172	16074	30384
173	16173	30301
174	16273	30222
175	16362	30121
176	16448	30016
177	16537	29916
178	16622	29809
179	16707	29702
180	16794	29598
181	16875	29485
182	16946	29354
183	17018	29228
184	17106	29127
185	17196	29031
186	17294	28948
187	17385	28852
188	17473	28753
189	17569	28666
190	17661	28572
191	17755	28482
192	17846	28388
193	17927	28277
194	18008	28166
195	18093	28063
196	18178	27960
197	18259	27849
198	18347	27752
199	18444	27666
200	18537	27575
201	18636	27493
202	18749	27432
203	18832	27325
204	18907	27208
205	18983	27092
206	19062	26982
207	19144	26875
208	19227	26771
209	19304	26659
210	19394	26563
211	19485	26470
212	19569	26368
213	19661	26276
214	19753	26184
215	19840	26086
216	19933	25995
217	20022	25900
218	20115	25809
219	20204	25714
220	20293	25619
221	20372	25511
222	20464	25420
223	20553	25325
224	20646	25234
225	20761	25170
226	20859	25086
227	20959	25004
228	21060	24923
229	21161	24841
230	21255	24751
231	21353	24667
232	21451	24581
233	21551	24498
234	21650	24413
235	21743	24323
236	21841	24237
237	21929	24141
238	22028	24056
239	22128	23972
240	22233	23894
241	22337	23814
242	22433	23725
243	22538	23646
244	22629	23552
245	22729	23469
246	22827	23381
247	22927	23296
248	23031	23216
249	23138	23138
250	23240	23055
251	23359	22988
252	23455	22899
253	23550	22808
254	23646	22718
255	23744	22631
256	23839	22540
257	23933	22449
258	24032	22361
259	24132	22275
260	24235	22192
261	24342	22112
262	24444	22027
263	24548	21944
264	24648	21858
265	24748	21771
266	24837	21674
267	24929	21580
268	25016	21482
269	25101	21383
270	25189	21285
271	25274	21186
272	25358	21085
273	25449	20991
274	25545	20901
275	25648	20816
276	25737	20720
277	25820	20619
278	25904	20519
279	25987	20418
280	26068	20316
281	26154	20218
282	26235	20117
283	26314	20013
284	26403	19918
285	26493	19823
286	26585	19730
287	26682	19641
288	26768	19543
289	26860	19450
290	26954	19359
291	27042	19263
292	27140	19174
293	27222	19074
294	27297	18969
295	27385	18873
296	27469	18775
297	27548	18673
298	27635	18577
299	27785	18523
300	27884	18435
301	27974	18340
302	28060	18243
303	28145	18146
304	28228	18047
305	28318	17953
306	28404	17856
307	28482	17755
308	28565	17657
309	28649	17559
310	28725	17457
311	28813	17361
312	28908	17271
313	28998	17177
314	29087	17083
315	29174	16987
316	29269	16897
317	29366	16807
318	29459	16715
319	29534	16613
320	29619	16516
321	29704	16420
322	29784	16321
323	29863	16222
324	29947	16125
325	30022	16024
326	30120	15935
327	30221	15847
328	30315	15756
329	30400	15660
330	30485	15564
331	30558	15463
332	30643	15367
333	30733	15274
334	30819	15179
335	30899	15081
336	30984	14986
337	31074	14893
338	31170	14803
339	31267	14713
340	31345	14615
341	31422	14516
342	31521	14428
343	31624	14341
344	31715	14248
345	31809	14157
346	31893	14062
347	31976	13966
348	32063	13872
349	32143	13775
350	32286	13705
351	32370	13610
352	32458	13516
353	32553	13426
354	32629	13327
355	32703	13228
356	32783	13131
357	32866	13036
358	32944	12939
359	33027	12844
360	33111	12749
361	33190	12652
362	33270	12556
363	33344	12458
364	33430	12364
365	33523	12273
366	33613	12181
367	33723	12096
368	33843	12014
369	33957	11930
370	34058	11842
371	34164	11755
372	34268	11667
373	34361	11576
374	34453	11484
375	34553	11395
376	34649	11304
377	34755	11217
378	34855	11127
379	34935	11032
380	35027	10940
381	35115	10847
382	35196	10751
383	35300	10663
384	35397	10573
385	35497	10483
386	35596	10393
387	35712	10308
388	35820	10221
389	35926	10132
390	36037	10046
391	36141	9957
392	36246	9868
393	36334	9775
394	36433	9684
395	36513	9589
396	36617	9500
397	36796	9430
398	36924	9346
399	37016	9254
400	37117	9163
401	37224	9074
402	37322	8983
403	37413	8890
404	37506	8797
405	37597	8704
406	37690	8612
407	37782	8519
408	37884	8429
409	38013	8344
410	38138	8258
411	38257	8171
412	38378	8084
413	38489	7995
414	38603	7906
415	38706	7815
416	38805	7723
417	38901	7631
418	39004	7540
419	39097	7447
420	39199	7355
421	39300	7264
422	39474	7185
423	39590	7096
424	39730	7011
425	39844	6921
426	39945	6829
427	40043	6736
428	40143	6643
429	40466	6587
430	40621	6503
431	40901	6438
432	41027	6348
433	41201	6265
434	41452	6194
435	41571	6102
436	41676	6008
437	41786	5914
438	41915	5824
439	42026	5730
440	42129	5636
441	42241	5543
442	42366	5451
443	42476	5357
444	42588	5263
445	42694	5169
446	42782	5072
447	42891	4978
448	43008	4885
449	43108	4789
450	43221	4695
451	43333	4601
452	43442	4507
453	43543	4411
454	43640	4316
455	43742	4220
456	43843	4125
457	43962	4031
458	44098	3939
459	44205	3843
460	44327	3750
461	44447	3655
462	44564	3561
463	44667	3465
464	44762	3369
465	44859	3272
466	44950	3176
467	45052	3080
468	45148	2984
469	45234	2887
470	45331	2791
471	45420	2694
472	45513	2598
473	45608	2501
474	45698	2405
475	45794	2308
476	45893	2212
477	45986	2116
478	46074	2019
479	46164	1923
480	46252	1827
481	46340	1730
482	46430	1634
483	46513	1537
484	46594	1441
485	46686	1344
486	46783	1248
487	46877	1152
488	46967	1056
489	47050	960
490	47132	863
491	47227	767
492	47326	671
493	47423	575
494	47514	479
495	47588	383
496	47689	287
497	47776	191
498	47874	95
499	47963	0
